StationName,Line,Department,Station,Workstation,Long,Lat
T1A001E,1A,T,001,E,-83.162587,42.309380
T1A001W,1A,T,001,W,-83.162682,42.309354
T1A002E,1A,T,002,E,-83.162552,42.309331
T1A002W,1A,T,002,W,-83.162647,42.309306
T1A003E,1A,T,003,E,-83.162517,42.309283
T1A003W,1A,T,003,W,-83.162612,42.309258
T1A004E,1A,T,004,E,-83.162482,42.309235
T1A004W,1A,T,004,W,-83.162577,42.309209
T1A005E,1A,T,005,E,-83.162446,42.309186
T1A005W,1A,T,005,W,-83.162541,42.309161
T1A006E,1A,T,006,E,-83.162411,42.309138
T1A006W,1A,T,006,W,-83.162506,42.309113
T1A007E,1A,T,007,E,-83.162376,42.309090
T1A007W,1A,T,007,W,-83.162471,42.309064
T1A008E,1A,T,008,E,-83.162341,42.309042
T1A008W,1A,T,008,W,-83.162436,42.309016
T1A009E,1A,T,009,E,-83.162306,42.308993
T1A009W,1A,T,009,W,-83.162401,42.308968
T1A010E,1A,T,010,E,-83.162271,42.308945
T1A010W,1A,T,010,W,-83.162366,42.308920
T1A011E,1A,T,011,E,-83.162236,42.308897
T1A011W,1A,T,011,W,-83.162331,42.308871
T2A001E,2A,T,001,E,-83.162001,42.308991
T2A001W,2A,T,001,W,-83.162089,42.308968
T2A002E,2A,T,002,E,-83.162036,42.309039
T2A002W,2A,T,002,W,-83.162124,42.309016
T2A003E,2A,T,003,E,-83.162071,42.309087
T2A003W,2A,T,003,W,-83.162159,42.309064
T2A004E,2A,T,004,E,-83.162106,42.309136
T2A004W,2A,T,004,W,-83.162194,42.309113
T2A005E,2A,T,005,E,-83.162141,42.309184
T2A005W,2A,T,005,W,-83.162230,42.309161
T2A006E,2A,T,006,E,-83.162176,42.309232
T2A006W,2A,T,006,W,-83.162265,42.309209
T2A007E,2A,T,007,E,-83.162211,42.309281
T2A007W,2A,T,007,W,-83.162300,42.309258
T2A008E,2A,T,008,E,-83.162246,42.309329
T2A008W,2A,T,008,W,-83.162335,42.309306
T2A009E,2A,T,009,E,-83.162281,42.309377
T2A009W,2A,T,009,W,-83.162370,42.309354
T2A010E,2A,T,010,E,-83.162316,42.309426
T2A010W,2A,T,010,W,-83.162405,42.309402
T2A011E,2A,T,011,E,-83.162351,42.309474
T2A011W,2A,T,011,W,-83.162440,42.309451
T2A012E,2A,T,012,E,-83.162386,42.309522
T2A012W,2A,T,012,W,-83.162475,42.309499
T2A013E,2A,T,013,E,-83.162421,42.309570
T2A013W,2A,T,013,W,-83.162510,42.309547
T2A014E,2A,T,014,E,-83.162456,42.309619
T2A014W,2A,T,014,W,-83.162545,42.309596
T2A015E,2A,T,015,E,-83.162492,42.309667
T2A015W,2A,T,015,W,-83.162580,42.309644
T2A016E,2A,T,016,E,-83.162527,42.309715
T2A016W,2A,T,016,W,-83.162615,42.309692
T2A017E,2A,T,017,E,-83.162562,42.309764
T2A017W,2A,T,017,W,-83.162650,42.309741
T2A018E,2A,T,018,E,-83.162597,42.309812
T2A018W,2A,T,018,W,-83.162685,42.309789
T7A001E,7A,T,001,E,-83.162801,42.310516
T7A001W,7A,T,001,W,-83.162883,42.310496
